bhib,5,9,5,4,9,4
dbda,5,9,1,2,5,5
geja,5,2,6,9,3,6
gcdb,7,5,1,6,8,1
ecgh,1,9,7,5,6,2
jbei,1,5,4,1,9,6
cdhf,7,6,2,7,3,2
ieah,5,6,5,4,6,7
gfcb,7,6,6,6,3,7
aich,1,7,4,7,8,2
eaca,3,7,1,4,2,8
djfh,7,8,2,2,8,7
aedb,3,8,4,8,5,1
gfbf,9,1,1,8,4,7
fhhc,3,5,7,2,6,2
ggif,1,8,2,2,7,8
fcji,2,7,2,1,2,8
bafe,4,7,7,3,6,9
eghf,5,8,1,4,5,9
gehi,4,1,5,4,4,1
gdjf,4,8,5,8,4,3
efci,3,4,6,3,6,9
ccgd,8,5,5,1,1,3
fceg,9,3,6,2,1,5
ceeb,3,2,1,4,1,4
daha,1,9,3,1,5,1
gjji,8,9,6,1,7,4
efig,2,8,4,1,7,8
gbah,4,5,1,1,9,1
jaah,4,9,8,5,3,4
deai,3,3,4,4,6,5
jgjh,9,6,6,9,4,3
hfeg,6,2,5,8,9,3
cihc,6,2,1,9,2,5
acab,5,9,4,6,2,3
ccjc,9,6,8,8,1,2
aebj,3,2,4,9,7,6
fdag,5,9,3,9,4,2
fadj,3,9,2,6,8,5
fdih,2,6,1,6,4,8
jdie,5,7,4,1,4,1
fabg,4,5,2,4,6,4
biag,3,1,1,1,5,6
eiic,3,3,9,2,4,3
ifga,2,4,3,5,5,2
jiaa,6,2,6,7,6,3
hfgj,2,2,1,1,7,2
abfi,8,1,5,4,6,1
ebej,5,8,8,2,5,3
hacg,8,2,6,7,1,3
jhig,3,1,8,6,1,6
gaeh,8,4,8,6,7,6
ahaj,4,2,3,5,1,1
ccbb,5,7,5,5,1,7
ciij,4,9,1,3,2,6
ieii,7,7,2,7,7,7
hagb,9,1,2,6,1,4
hfji,9,3,2,3,2,3
ihad,2,7,1,5,9,1
hcba,8,8,1,5,3,5
jgef,6,5,3,8,7,9
aabh,4,2,3,8,3,3
jecb,3,1,3,6,1,4
abcj,4,7,5,1,8,5
bcej,4,6,3,5,5,5
idab,9,8,2,6,5,1
hhfd,4,5,1,6,6,2
fagi,8,8,4,5,8,9
egeg,5,7,5,3,1,3
jhgd,9,3,9,3,4,4
jedi,3,7,2,1,2,8
fbaf,2,1,8,4,5,9
ddcf,2,4,2,9,5,4
gaab,4,2,7,8,6,1
jdcg,9,7,3,6,7,8
bjic,2,5,1,8,3,3
eagg,4,9,3,9,1,3
jbid,7,1,1,3,3,7
efjc,1,5,1,4,7,2
hjac,1,7,2,5,2,9
fiff,4,9,2,5,8,4
bdcb,7,2,2,1,6,4
egji,5,9,8,2,2,4
jjih,4,9,7,9,1,2
egaa,7,1,1,2,5,6
adhb,1,8,5,9,2,1
fafb,2,5,6,6,6,4
bijd,9,6,7,1,1,4
jgfb,9,4,9,7,3,3
geie,9,9,3,1,5,2
ihie,2,8,5,8,6,8
ggba,5,1,3,2,1,1
geej,5,3,8,4,5,2
jcjf,6,2,8,8,2,7
ibcd,2,9,6,2,9,3
chcf,3,5,8,1,7,8
gdbe,8,1,3,7,3,5
heci,2,9,7,7,5,4
ciai,4,9,7,3,1,4
fhdh,9,6,1,4,7,4
bjfd,6,9,6,1,1,5
dcfj,2,2,2,8,8,4
jjbc,7,4,4,8,9,8
bccg,1,5,4,6,6,9
fbci,5,1,1,3,5,6
jifc,4,2,8,6,7,1
adah,8,4,6,8,6,5
hcae,9,5,9,1,8,5
caif,5,1,1,4,9,4
cajb,9,7,5,2,1,7
bdgh,6,2,8,3,8,4
icha,1,1,9,2,6,3
gcac,5,3,9,9,6,2
eadh,5,7,5,2,6,9
jhfh,2,8,6,9,6,1
hjbj,7,1,6,7,6,4
cebc,5,1,2,1,4,1
ecbf,6,6,3,7,4,7
cjff,5,1,1,1,6,6
gfgh,9,1,1,1,3,5
fbbb,2,5,2,6,5,9
iaci,9,5,5,7,4,1
ddei,7,8,7,1,9,6
ecdi,3,5,2,7,9,2
bhgj,2,3,4,7,4,1
ahhd,8,7,3,8,9,8
jieg,7,4,7,1,8,5
efea,1,4,6,1,7,1
acic,3,4,2,8,9,9
gfhd,2,8,4,3,9,7
hbaj,7,7,6,6,1,7
cbjh,3,6,1,3,7,4
edgc,5,1,8,8,3,3
hgeb,3,3,4,3,8,7
hadc,4,9,2,8,6,6
ebja,2,3,5,3,1,9
iggg,8,6,3,2,8,4
jghe,5,5,2,7,4,9
agdc,8,6,5,6,9,1
eejh,4,2,9,2,5,7
fejj,8,4,8,7,3,8
hcdd,8,2,3,8,1,4
aega,9,6,4,1,4,3
dbjj,5,1,2,2,9,6
dfcg,3,2,1,7,9,1
jdja,8,1,9,8,3,1
fgac,9,4,4,9,5,2
ddbj,4,1,6,5,5,7
bdee,5,6,4,9,4,8
dhjb,7,9,7,8,3,1
jjeb,7,6,4,2,8,7
ddfe,6,1,1,9,5,1
dbfd,9,1,5,4,2,3
fgcf,6,3,6,1,2,9
dcdg,9,1,7,5,5,6
iaig,3,6,4,7,7,3
gbdg,9,6,1,1,8,5
aacd,5,9,2,1,2,5
hfaa,1,3,7,7,8,8
ahcb,6,1,7,2,5,7
bcgb,4,3,4,1,6,1
efde,8,3,7,4,8,3
cach,9,2,7,6,7,4
agcg,5,6,7,1,3,7
icih,7,2,4,9,5,7
hejc,5,3,1,7,4,6
fcbh,4,6,3,7,2,4
ideh,5,4,5,6,2,2
fbgd,2,4,1,9,3,9
jcca,9,5,7,3,1,9
ecaj,7,1,6,9,3,4
cibe,9,1,5,1,6,2
bgea,3,4,8,4,2,6
cefi,6,8,1,8,5,2
hgfi,8,5,4,2,1,6
bcie,7,9,9,7,1,9
ebff,9,2,1,9,8,5
geff,2,1,3,1,5,9
gigd,6,2,9,8,8,8
hgih,9,5,4,2,2,3
fgid,1,3,7,1,7,2
fefd,6,3,7,5,5,6
fhai,6,5,1,3,5,2
bchi,6,8,8,8,1,4
jjcj,3,1,7,2,8,7
